Pid,Lon,Lat,DisYear1,DisDOY1,DisYear2,DisDOY2
495,-107.0527497,40.95568579,0,0,0,0
496,-107.1595429,41.18962059,0,0,0,0
497,-107.0641926,40.83794128,0,0,0,0
498,-107.0282683,41.37303535,0,0,0,0
499,-106.1483635,41.54191911,0,0,0,0
500,-106.9237579,40.9802743,0,0,0,0
501,-106.9882356,40.99444245,0,0,0,0
502,-106.8491361,40.99248597,0,0,0,0
503,-106.9775127,40.84899812,0,0,0,0
504,-106.3834356,40.62849464,0,0,0,0
505,-106.8960738,40.60477075,0,0,0,0
506,-107.2003142,40.63965116,0,0,0,0
507,-106.571789,40.94419487,2016,189,0,0
508,-106.9020255,40.62237968,0,0,0,0
509,-106.9153725,41.41816603,0,0,0,0
510,-107.2921348,41.19110231,2016,172,0,0
511,-106.2582231,41.50613113,0,0,0,0
512,-106.7800809,41.00582735,0,0,0,0
513,-107.2668639,40.80168016,0,0,0,0
514,-106.2061928,41.3645666,0,0,0,0
515,-107.0121105,41.11229434,0,0,0,0
516,-106.5880546,41.44162091,0,0,0,0
517,-106.5206594,41.24084172,0,0,0,0
518,-107.1071765,40.76251636,0,0,0,0
519,-106.1282884,41.01543832,0,0,0,0
520,-106.5059583,40.78280183,0,0,0,0
521,-106.6693314,40.90855575,0,0,0,0
522,-106.2399234,40.66391173,0,0,0,0
523,-106.6632539,41.4774198,0,0,0,0
524,-107.3592396,41.35206067,0,0,0,0
525,-106.7510937,41.12631105,0,0,0,0
526,-106.3216691,40.81386233,0,0,0,0
527,-106.4116479,40.66212999,0,0,0,0
528,-106.6441736,41.51195871,0,0,0,0
529,-107.3767971,41.38927835,0,0,0,0
530,-106.44454,41.12293519,0,0,0,0
531,-106.7850836,40.78325166,0,0,0,0
532,-106.5185536,41.02327521,0,0,0,0
533,-106.392272,40.7985819,0,0,0,0
534,-106.3371921,41.37435553,0,0,0,0
535,-107.331768,40.86383067,0,0,0,0
536,-106.3605683,40.93257234,0,0,0,0
537,-106.6511287,41.53055378,0,0,0,0
538,-107.2687022,40.79869638,0,0,0,0
539,-107.0341314,40.55567171,0,0,0,0
